id,title,sub_title,author,image_url,publish_date
9772509432002,Deutscher Wissenschaftsherold,German Science Herald,Interging Publishing,https://www.buchhandel.de/cover/9772509432002/9772509432002-cover-s.jpg,
9771435382009,Deutsches Handwerksblatt - Zeitungsausgabe,Zeitung der Handwerkskammer... (+ Name der jeweil. HK),Verlagsanstalt Handwerk,https://www.buchhandel.de/cover/9771435382009/9771435382009-cover-s.jpg,
9770946242000,Deutsches Ingenieurblatt,Organ der Deutschen Ingenieurkammern Körperschaften des Öffentlichen Rechts,Schiele & Schön,https://www.buchhandel.de/cover/9770946242000/9770946242000-cover-s.jpg,
9770340934006,Deutsche Sprache,"Zeitschrift für Theorie, Praxis, Dokumentation","Schmidt, Erich",https://www.buchhandel.de/cover/9770340934006/9770340934006-cover-s.jpg,
9770949767005,"Deutsches Steuerrecht (DStR) mit DStR-Entscheidungsdienst (DStRE), DStR-Fachdienst und Beck SteuerDirekt","Wochenschrift & umfassende Datenbank für Steuerberater. Steuerrecht, Wirtschaftsrecht, Betriebswirtschaft, Beruf. Organ der Bundessteuerberaterkammer",C.H.Beck,https://www.buchhandel.de/cover/9770949767005/9770949767005-cover-s.jpg,
9770724563006,Deutsche Steuer-Zeitung (DStZ),,Stollfuß Verlag,https://www.buchhandel.de/cover/9770724563006/9770724563006-cover-s.jpg,
9771867848005,DGUV Forum,"Fachzeitschrift für Prävention, Rehabilitation u. Entschädigung",Universum Verlag,https://www.buchhandel.de/cover/9771867848005/9771867848005-cover-s.jpg,
9771861659003,DGVZ • Deutsche Gerichtsvollzieher Zeitung,"Zeitschrift für Vollstreckungs-, Zustellungs- und Kostenrecht",C.H.Beck,https://www.buchhandel.de/cover/9771861659003/9771861659003-cover-s.jpg,
9771617652005,Diabetes- Congress Report,Das Wichtigste von den aktuellen Kongressen,Kirchheim + Co.,https://www.buchhandel.de/cover/9771617652005/9771617652005-cover-s.jpg,
9771865765007,Diabetes-Eltern-Journal,,Kirchheim + Co.,https://www.buchhandel.de/cover/9771865765007/9771865765007-cover-s.jpg,
9771614647004,Diabetes-Forum,Forum für integriertes Diabetesmanagement,Kirchheim + Co.,https://www.buchhandel.de/cover/9771614647004/9771614647004-cover-s.jpg,
9770341881002,Diabetes-Journal,Aktiv Gesund Leben,Kirchheim + Co.,https://www.buchhandel.de/cover/9770341881002/9770341881002-cover-s.jpg,
9772199825009,DiabetesNews,Berufspolitik und Fachinformationen für den Diabetes-Arzt,Kirchheim + Co.,https://www.buchhandel.de/cover/9772199825009/9772199825009-cover-s.jpg,
